date,school,party_s,party_rv,party_kf,party_nb,party_sf,party_vegan,party_la,party_kd,party_df,party_v,party_el,party_alt,blank,invalid,not_voted,valid,electorate,municipality,zip_code,region
2015-01-29,Langebjergskolen,32,13,2,,2,,8,1,1,19,2,,0,0,15,80,95,Fredensborg Kommune,3050,Region Hovedstaden
2015-01-29,Langelands Efterskole,0,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,Langeland Kommune,5900,Region Syddanmark
2015-01-29,Langelinieskolen,44,4,0,,6,,4,0,2,8,10,,0,0,17,78,95,Københavns Kommune,2100,Region Hovedstaden
2015-01-29,Langhøjskolen,1,1,3,,2,,0,0,3,13,0,,0,0,2,23,25,Struer Kommune,7600,Region Midtjylland
2015-01-29,Langmarkskolen,33,2,8,,4,,8,0,16,24,2,,0,8,30,97,135,Horsens Kommune,8700,Region Midtjylland
2015-01-29,Langsøskolen,9,3,8,,1,,13,0,5,5,0,,3,0,8,44,55,Silkeborg Kommune,8600,Region Midtjylland
2015-01-29,Langtved Friskole,2,0,9,,0,,0,0,0,0,0,,1,0,1,11,13,Nyborg Kommune,5540,Region Syddanmark
2015-01-29,Låsby Skole,7,2,7,,4,,2,1,1,30,1,,2,2,1,55,60,Skanderborg Kommune,8670,Region Midtjylland
2015-01-29,Lem Stationsskole,0,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,Ringkøbing-Skjern Kommune,6940,Region Midtjylland
2015-01-29,Lemvig Kristne Friskole,0,3,1,,0,,0,1,1,0,0,,0,0,0,6,6,Lemvig Kommune,7620,Region Midtjylland
2015-01-29,Levring Efterskole,0,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,Silkeborg Kommune,8620,Region Midtjylland
2015-01-29,Lille Næstved Skole,13,65,21,,7,,11,1,7,45,3,,1,9,42,173,225,Næstved Kommune,4700,Region Sjælland
2015-01-29,Lille Værløse Skole,6,0,1,,0,,0,1,0,5,2,,0,0,0,15,15,Furesø Kommune,3500,Region Hovedstaden
2015-01-29,Lind Skole,24,16,12,,12,,8,4,10,54,2,,0,7,29,142,178,Herning Kommune,7400,Region Midtjylland
2015-01-29,Lindeskovskolen,10,1,6,,7,,3,0,5,9,8,,0,3,2,49,54,Guldborgsund Kommune,4800,Region Sjælland
2015-01-29,Lindevangskolen,18,12,26,,7,,4,0,8,13,8,,3,1,16,96,116,Frederiksberg Kommune,2000,Region Hovedstaden
2015-01-29,Lisbjergskolen,0,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,Aarhus Kommune,8200,Region Midtjylland
2015-01-29,Lundby Efterskole,1,0,2,,2,,10,1,1,4,0,,0,0,16,21,37,Vordingborg Kommune,4750,Region Sjælland
2015-01-29,Lundehusskolen,0,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,Københavns Kommune,2100,Region Hovedstaden
2015-01-29,Lundgårdskolen,29,7,16,,11,,22,0,10,20,4,,5,2,19,119,145,Herning Kommune,7400,Region Midtjylland
2015-01-29,Lykkebo Skole,19,6,6,,3,,2,0,5,6,1,,1,5,7,48,61,Københavns Kommune,2500,Region Hovedstaden
2015-01-29,Lykkesgårdskolen,10,1,9,,12,,4,0,9,11,10,,2,2,12,66,82,Varde Kommune,6800,Region Syddanmark
2015-01-29,Lyngbjerggårdskolen,2,1,0,,3,,0,0,1,5,2,,0,0,2,14,16,Aalborg Kommune,9230,Region Nordjylland
2015-01-29,Lyngby Friskole,0,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,Lyngby-Taarbæk Kommune,2800,Region Hovedstaden
2015-01-29,Lyngholmskolen,38,7,6,,8,,3,2,5,14,20,,4,1,17,103,125,Furesø Kommune,3520,Region Hovedstaden
2015-01-29,Lærkeskolen,19,17,32,,9,,28,0,8,65,2,,3,1,25,180,209,Egedal Kommune,3660,Region Hovedstaden
2015-01-29,Læsø Skole,1,1,0,,3,,1,0,3,19,0,,0,1,5,28,34,Læsø Kommune,9940,Region Nordjylland
2015-01-29,Lødderup Friskole,10,2,7,,1,,1,0,0,27,0,,0,0,7,48,55,Morsø Kommune,7900,Region Nordjylland
2015-01-29,Løgstrup Skole,30,14,2,,9,,5,0,9,9,1,,3,4,14,79,100,Viborg Kommune,8831,Region Midtjylland
2015-01-29,Løjtegårdsskolen,25,5,5,,3,,6,1,15,25,10,,10,0,22,95,127,Tårnby Kommune,2770,Region Hovedstaden
2015-01-29,Løkken undervisningssted,0,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,Hjørring Kommune,9480,Region Nordjylland
2015-01-29,Løsning Skole,20,9,14,,12,,12,0,16,25,5,,6,1,20,113,140,Hedensted Kommune,8723,Region Midtjylland
2015-01-29,Magleby Fri- og Efterskole,2,1,3,,5,,1,0,4,6,2,,1,0,26,24,51,Langeland Kommune,5935,Region Syddanmark
2015-01-29,Maglegårdsskolen,3,16,24,,3,,19,0,1,13,1,,0,0,20,80,100,Gentofte Kommune,2900,Region Hovedstaden
2015-01-29,Maglehøjskolen,20,7,18,,0,,1,0,7,16,8,,0,5,25,77,107,Egedal Kommune,3650,Region Hovedstaden
2015-01-29,Margretheskolen,8,4,4,,1,,5,1,3,10,3,,3,2,5,39,49,Roskilde Kommune,4000,Region Sjælland
2015-01-29,Mariager Skole,20,8,11,,2,,9,1,7,9,0,,0,0,0,67,67,Mariagerfjord Kommune,9550,Region Nordjylland
2015-01-29,Mariagerfjord Idrætsskole,0,4,0,,1,,3,1,2,4,0,,0,0,0,15,15,Mariagerfjord Kommune,9500,Region Nordjylland
2015-01-29,Marienhoffskolen,12,3,2,,0,,3,0,0,3,1,,0,0,3,24,27,Syddjurs Kommune,8550,Region Midtjylland
2015-01-29,Markusskolen,6,2,4,,4,,3,5,4,7,2,,0,0,3,37,40,Esbjerg Kommune,6710,Region Syddanmark
2015-01-29,Mellervangskolen,0,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,Aalborg Kommune,9000,Region Nordjylland
2015-01-29,Mentiqa-Nordjylland,2,3,3,,1,,1,0,1,1,5,,7,0,3,17,27,Aalborg Kommune,9400,Region Nordjylland
2015-01-29,Middelfart Friskole,11,3,1,,3,,0,0,1,6,2,,2,0,2,27,31,Middelfart Kommune,5500,Region Syddanmark
2015-01-29,Midtjysk Efterskole,0,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,Ikast-Brande Kommune,7361,Region Midtjylland
2015-01-29,Midtsjællands Efterskole,7,7,27,,5,,0,0,3,26,22,,1,0,12,97,110,Lejre Kommune,4330,Region Sjælland
"2015-01-29,""Midtskolen, Bavne afdeling"",8,1,6,,4,,0,0,16,6,2,,1,0,9,43,53,Faxe Kommune,4690,Region Sjælland"
"2015-01-29,""Midtskolen, Møllevang afdeling"",8,4,13,,2,,30,1,0,10,1,,3,0,18,69,90,Faxe Kommune,4683,Region Sjælland"
"2015-01-29,""Midtskolen, Sofiendal afdeling"",7,5,3,,7,,8,3,19,17,13,,7,2,21,82,112,Faxe Kommune,4690,Region Sjælland"
2015-01-29,Muldbjergskolen,13,10,7,,2,,5,4,6,13,20,,1,1,8,80,90,Hjørring Kommune,9800,Region Nordjylland
2015-01-29,Munkebo Skole - mellem nor og fjord,34,15,4,,5,,5,1,12,19,5,,11,0,16,100,127,Kerteminde Kommune,5330,Region Syddanmark
2015-01-29,Munkegårdsskolen,0,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,Gentofte Kommune,2870,Region Hovedstaden
2015-01-29,Munkekærskolen,7,12,19,,5,,22,0,9,36,2,,8,0,40,112,160,Solrød Kommune,2680,Region Sjælland
2015-01-29,Munkholmskolen,3,3,4,,3,,1,1,21,14,3,,2,0,6,53,61,Randers Kommune,8870,Region Midtjylland
2015-01-29,Musikefterskolen i Humble,0,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,Langeland Kommune,5932,Region Syddanmark
2015-01-29,Mølholm Skole,0,0,0,,0,,0,0,0,0,0,,0,0,0,0,0,Vejle Kommune,7100,Region Syddanmark
"2015-01-29,""Møn Skole, Stege"",26,27,2,,10,,2,0,11,22,7,,2,1,25,107,135,Vordingborg Kommune,4780,Region Sjælland"
2015-01-29,Mønsted Skole,7,2,2,,18,,0,0,2,12,1,,0,0,1,44,45,Viborg Kommune,8800,Region Midtjylland
2015-01-29,Mørdrupskolen,21,3,5,,1,,2,0,4,6,3,,0,0,4,45,49,Helsingør Kommune,3060,Region Hovedstaden
2015-01-29,Mørke Skole,8,1,0,,3,,2,0,6,8,0,,0,1,7,28,36,Syddjurs Kommune,8544,Region Midtjylland
2015-01-29,Mørkhøj Skole,12,6,7,,6,,6,1,4,5,6,,0,0,12,53,65,Gladsaxe Kommune,2860,Region Hovedstaden
2015-01-29,N. Zahles Gymnasieskole,37,21,59,,8,,9,1,0,20,7,,0,3,25,162,190,Københavns Kommune,1358,Region Hovedstaden
